IoC,Base Severity,Base Score,Final Score,,,,IoC,Base Severity,Base Score,Final Score,,IoC,Base Severity,Base Score,Final Score
CVE-2011-4862,HIGH,10,117.0418314,,,,CVE-2011-4862,HIGH,10,117.0418314,,CVE-2011-4862,HIGH,10,117.0418314
CVE-2011-1653,HIGH,10,116.9280518,,,,CVE-2011-1653,HIGH,10,116.9280518,,CVE-2011-1653,HIGH,10,116.9280518
CVE-2011-2523,HIGH,10,116.9280518,,,,CVE-2011-2523,HIGH,10,116.9280518,,CVE-2011-2523,HIGH,10,116.9280518
CVE-2011-2667,HIGH,10,116.9280518,,,,CVE-2011-2667,HIGH,10,116.9280518,,CVE-2011-2667,HIGH,10,116.9280518
CVE-2011-4124,HIGH,10,116.5607301,,,,CVE-2011-4124,HIGH,10,116.5607301,,CVE-2011-4124,HIGH,10,116.5607301
CVE-2011-4125,HIGH,10,116.5607301,,,,CVE-2011-4125,HIGH,10,116.5607301,,CVE-2011-4125,HIGH,10,116.5607301
CVE-2011-0732,HIGH,10,12.54243459,,,,CVE-2011-1719,HIGH,9.3,108.7481921,,CVE-2011-0732,HIGH,10,12.54243459
CVE-2011-0913,HIGH,10,12.53646031,,,,CVE-2011-3194,HIGH,9.3,108.6329028,,CVE-2011-0913,HIGH,10,12.53646031
CVE-2011-0914,HIGH,10,12.53646031,,,,CVE-2011-3439,HIGH,9.3,108.6227702,,CVE-2011-0914,HIGH,10,12.53646031
CVE-2011-0916,HIGH,10,12.53646031,,,,CVE-2011-3193,HIGH,9.3,108.5856728,,CVE-2011-0916,HIGH,10,12.53646031
CVE-2011-0918,HIGH,10,12.53646031,,,,CVE-2011-0035,HIGH,9.3,108.5726347,,CVE-2011-0918,HIGH,10,12.53646031
CVE-2011-0917,HIGH,10,12.5358922,,,,CVE-2011-0036,HIGH,9.3,108.5726347,,CVE-2011-0917,HIGH,10,12.5358922
CVE-2011-0372,HIGH,10,12.52654147,,,,CVE-2011-0038,HIGH,9.3,108.5726347,,CVE-2011-0372,HIGH,10,12.52654147
CVE-2011-0376,HIGH,10,12.52654147,,,,CVE-2011-0094,HIGH,9.3,108.5726347,,CVE-2011-0376,HIGH,10,12.52654147
CVE-2011-1559,HIGH,10,12.52484422,,,,CVE-2011-0248,HIGH,9.3,108.5726347,,CVE-2011-1559,HIGH,10,12.52484422
CVE-2011-0382,HIGH,10,12.5239982,,,,CVE-2011-0346,HIGH,9.3,108.5726347,,CVE-2011-0382,HIGH,10,12.5239982
CVE-2011-0935,HIGH,10,12.52032824,,,,CVE-2011-0347,HIGH,9.3,108.5726347,,CVE-2011-0935,HIGH,10,12.52032824
CVE-2011-2162,HIGH,10,12.51132497,,,,CVE-2011-1250,HIGH,9.3,108.5705216,,CVE-2011-2162,HIGH,10,12.51132497
CVE-2011-2164,HIGH,10,12.51104423,,,,CVE-2011-1251,HIGH,9.3,108.5705216,,CVE-2011-2164,HIGH,10,12.51104423
