IoC,Base Severity,Base Score,Final Score,,,,IoC,Base Severity,Base Score,Final Score,,IoC,Base Severity,Base Score,Final Score
CVE-2008-5415,HIGH,10,114.9536811,,,,CVE-2008-5415,HIGH,10,114.9536811,,CVE-2008-5415,HIGH,10,114.9536811
CVE-2008-1329,HIGH,10,114.9519571,,,,CVE-2008-1329,HIGH,10,114.9519571,,CVE-2008-1329,HIGH,10,114.9519571
CVE-2008-3175,HIGH,10,114.9519571,,,,CVE-2008-3175,HIGH,10,114.9519571,,CVE-2008-3175,HIGH,10,114.9519571
CVE-2008-2241,HIGH,10,114.9502332,,,,CVE-2008-2241,HIGH,10,114.9502332,,CVE-2008-2241,HIGH,10,114.9502332
CVE-2008-4397,HIGH,10,114.9502332,,,,CVE-2008-4397,HIGH,10,114.9502332,,CVE-2008-4397,HIGH,10,114.9502332
CVE-2008-4211,HIGH,10,114.8745659,,,,CVE-2008-4211,HIGH,10,114.8745659,,CVE-2008-4211,HIGH,10,114.8745659
CVE-2008-1824,HIGH,10,114.7617277,,,,CVE-2008-1824,HIGH,10,114.7617277,,CVE-2008-1824,HIGH,10,114.7617277
CVE-2008-4796,HIGH,10,114.6530615,,,,CVE-2008-4796,HIGH,10,114.6530615,,CVE-2008-4796,HIGH,10,114.6530615
CVE-2008-3529,HIGH,10,114.5872031,,,,CVE-2008-3529,HIGH,10,114.5872031,,CVE-2008-3529,HIGH,10,114.5872031
CVE-2008-0003,HIGH,10,12.54585598,,,,CVE-2008-0077,HIGH,9.3,108.6677252,,CVE-2008-0003,HIGH,10,12.54585598
CVE-2008-0040,HIGH,10,12.54585598,,,,CVE-2008-1328,HIGH,9.3,106.9053201,,CVE-2008-0040,HIGH,10,12.54585598
CVE-2008-0725,HIGH,10,12.54585598,,,,CVE-2008-5529,HIGH,9.3,106.9037169,,CVE-2008-0725,HIGH,10,12.54585598
CVE-2008-0824,HIGH,10,12.54585598,,,,CVE-2008-5110,HIGH,9.3,106.7855552,,CVE-2008-0824,HIGH,10,12.54585598
CVE-2008-3376,HIGH,10,12.54585598,,,,CVE-2008-0454,HIGH,9.3,106.736331,,CVE-2008-3376,HIGH,10,12.54585598
CVE-2008-2388,HIGH,10,12.5440395,,,,CVE-2008-1086,HIGH,9.3,106.736331,,CVE-2008-2388,HIGH,10,12.5440395
CVE-2008-0012,HIGH,10,12.54339496,,,,CVE-2008-2254,HIGH,9.3,106.736331,,CVE-2008-0012,HIGH,10,12.54339496
CVE-2008-0013,HIGH,10,12.54339496,,,,CVE-2008-2255,HIGH,9.3,106.736331,,CVE-2008-0013,HIGH,10,12.54339496
CVE-2008-0014,HIGH,10,12.54339496,,,,CVE-2008-2256,HIGH,9.3,106.736331,,CVE-2008-0014,HIGH,10,12.54339496
CVE-2008-0029,HIGH,10,12.54339496,,,,CVE-2008-2257,HIGH,9.3,106.736331,,CVE-2008-0029,HIGH,10,12.54339496
CVE-2008-4404,HIGH,10,12.53739222,,,,CVE-2008-2258,HIGH,9.3,106.736331,,CVE-2008-4404,HIGH,10,12.53739222
CVE-2008-0016,HIGH,10,12.53064315,,,,CVE-2008-2259,HIGH,9.3,106.736331,,CVE-2008-0016,HIGH,10,12.53064315
CVE-2008-5281,HIGH,10,12.51966703,,,,CVE-2008-2281,HIGH,9.3,106.736331,,CVE-2008-5281,HIGH,10,12.51966703
CVE-2008-4641,HIGH,10,12.51906876,,,,CVE-2008-3013,HIGH,9.3,106.736331,,CVE-2008-4641,HIGH,10,12.51906876
CVE-2008-5184,HIGH,10,12.50208838,,,,CVE-2008-1814,HIGH,9,103.2855549,,CVE-2008-5184,HIGH,10,12.50208838
CVE-2008-6110,HIGH,10,12.49823464,,,,CVE-2008-5695,HIGH,8.5,97.69012723,,CVE-2008-6110,HIGH,10,12.49823464
CVE-2008-6005,HIGH,10,12.49645836,,,,CVE-2008-1984,HIGH,7.8,89.66118192,,CVE-2008-6005,HIGH,10,12.49645836
CVE-2008-5244,HIGH,10,12.49557077,,,,CVE-2008-1808,HIGH,7.5,86.30741976,,CVE-2008-5244,HIGH,10,12.49557077
CVE-2008-5305,HIGH,10,12.49231948,,,,CVE-2008-5516,HIGH,7.5,86.30741976,,CVE-2008-5305,HIGH,10,12.49231948
CVE-2008-6546,HIGH,10,12.48436021,,,,CVE-2008-6714,HIGH,7.5,86.25800818,,CVE-2008-6546,HIGH,10,12.48436021
CVE-2008-6566,HIGH,10,12.484066,,,,CVE-2008-2242,HIGH,7.5,86.21526083,,CVE-2008-6566,HIGH,10,12.484066
CVE-2008-5848,HIGH,10,12.46940755,,,,CVE-2008-3223,HIGH,7.5,86.20492052,,CVE-2008-5848,HIGH,10,12.46940755
CVE-2008-6820,HIGH,10,12.44500943,,,,CVE-2008-5197,HIGH,7.5,86.19717108,,CVE-2008-6820,HIGH,10,12.44500943
CVE-2008-4390,HIGH,10,12.44270057,,,,CVE-2008-7220,HIGH,7.5,86.0725736,,CVE-2008-4390,HIGH,10,12.44270057
CVE-2008-6993,HIGH,10,12.44241214,,,,CVE-2008-0074,HIGH,7.2,84.35135438,,CVE-2008-6993,HIGH,10,12.44241214
CVE-2008-0027,HIGH,10,12.43948196,,,,CVE-2008-2926,HIGH,7.2,82.76416793,,CVE-2008-0027,HIGH,10,12.43948196
