IoC,Base Severity,Base Score,Final Score,,,,IoC,Base Severity,Base Score,Final Score,,IoC,Base Severity,Base Score,Final Score
CVE-2012-1126,HIGH,10,117.909474,,,,CVE-2012-1126,HIGH,10,117.909474,,CVE-2012-1126,HIGH,10,117.909474
CVE-2012-0432,HIGH,10,117.7646078,,,,CVE-2012-0432,HIGH,10,117.7646078,,CVE-2012-0432,HIGH,10,117.7646078
CVE-2012-5932,HIGH,10,117.7646078,,,,CVE-2012-5932,HIGH,10,117.7646078,,CVE-2012-5932,HIGH,10,117.7646078
CVE-2012-2379,HIGH,10,117.6451028,,,,CVE-2012-2379,HIGH,10,117.6451028,,CVE-2012-2379,HIGH,10,117.6451028
CVE-2012-0757,HIGH,10,12.53918176,,,,CVE-2012-0011,HIGH,9.3,114.531641,,CVE-2012-0757,HIGH,10,12.53918176
CVE-2012-0758,HIGH,10,12.53918176,,,,CVE-2012-1127,HIGH,9.3,109.6558108,,CVE-2012-0758,HIGH,10,12.53918176
CVE-2012-0760,HIGH,10,12.53918176,,,,CVE-2012-1128,HIGH,9.3,109.6558108,,CVE-2012-0760,HIGH,10,12.53918176
CVE-2012-0763,HIGH,10,12.53918176,,,,CVE-2012-1129,HIGH,9.3,109.6558108,,CVE-2012-0763,HIGH,10,12.53918176
CVE-2012-0766,HIGH,10,12.53668429,,,,CVE-2012-1130,HIGH,9.3,109.6558108,,CVE-2012-0766,HIGH,10,12.53668429
CVE-2012-1288,HIGH,10,12.5361297,,,,CVE-2012-1131,HIGH,9.3,109.6558108,,CVE-2012-1288,HIGH,10,12.5361297
CVE-2012-1380,HIGH,10,12.53363579,,,,CVE-2012-1132,HIGH,9.3,109.6558108,,CVE-2012-1380,HIGH,10,12.53363579
CVE-2012-1381,HIGH,10,12.53363579,,,,CVE-2012-1133,HIGH,9.3,109.6558108,,CVE-2012-1381,HIGH,10,12.53363579
CVE-2012-1383,HIGH,10,12.53363579,,,,CVE-2012-1134,HIGH,9.3,109.6558108,,CVE-2012-1383,HIGH,10,12.53363579
CVE-2012-1384,HIGH,10,12.53363579,,,,CVE-2012-1135,HIGH,9.3,109.6558108,,CVE-2012-1384,HIGH,10,12.53363579
CVE-2012-1385,HIGH,10,12.53363579,,,,CVE-2012-1136,HIGH,9.3,109.6558108,,CVE-2012-1385,HIGH,10,12.53363579
CVE-2012-1386,HIGH,10,12.53363579,,,,CVE-2012-1137,HIGH,9.3,109.6558108,,CVE-2012-1386,HIGH,10,12.53363579
CVE-2012-1387,HIGH,10,12.53363579,,,,CVE-2012-1138,HIGH,9.3,109.6558108,,CVE-2012-1387,HIGH,10,12.53363579
CVE-2012-1388,HIGH,10,12.53363579,,,,CVE-2012-1139,HIGH,9.3,109.6558108,,CVE-2012-1388,HIGH,10,12.53363579
CVE-2012-1389,HIGH,10,12.53363579,,,,CVE-2012-1140,HIGH,9.3,109.6558108,,CVE-2012-1389,HIGH,10,12.53363579
CVE-2012-1390,HIGH,10,12.53363579,,,,CVE-2012-1141,HIGH,9.3,109.6558108,,CVE-2012-1390,HIGH,10,12.53363579
CVE-2012-1391,HIGH,10,12.53363579,,,,CVE-2012-1142,HIGH,9.3,109.6558108,,CVE-2012-1391,HIGH,10,12.53363579
CVE-2012-1392,HIGH,10,12.53363579,,,,CVE-2012-1144,HIGH,9.3,109.6558108,,CVE-2012-1392,HIGH,10,12.53363579
CVE-2012-1393,HIGH,10,12.53363579,,,,CVE-2012-0155,HIGH,9.3,109.3798476,,CVE-2012-1393,HIGH,10,12.53363579
CVE-2012-1394,HIGH,10,12.53363579,,,,CVE-2012-0169,HIGH,9.3,109.3798476,,CVE-2012-1394,HIGH,10,12.53363579
CVE-2012-1395,HIGH,10,12.53363579,,,,CVE-2012-0170,HIGH,9.3,109.3798476,,CVE-2012-1395,HIGH,10,12.53363579
CVE-2012-1396,HIGH,10,12.53363579,,,,CVE-2012-0171,HIGH,9.3,109.3798476,,CVE-2012-1396,HIGH,10,12.53363579
CVE-2012-1397,HIGH,10,12.53363579,,,,CVE-2012-0172,HIGH,9.3,109.3798476,,CVE-2012-1397,HIGH,10,12.53363579
CVE-2012-1398,HIGH,10,12.53363579,,,,CVE-2012-1523,HIGH,9.3,109.3460376,,CVE-2012-1398,HIGH,10,12.53363579
CVE-2012-1399,HIGH,10,12.53363579,,,,CVE-2012-1874,HIGH,9.3,109.3460376,,CVE-2012-1399,HIGH,10,12.53363579
CVE-2012-1400,HIGH,10,12.53363579,,,,CVE-2012-1875,HIGH,9.3,109.3460376,,CVE-2012-1400,HIGH,10,12.53363579
CVE-2012-1401,HIGH,10,12.53363579,,,,CVE-2012-1876,HIGH,9.3,109.3460376,,CVE-2012-1401,HIGH,10,12.53363579
CVE-2012-1402,HIGH,10,12.53363579,,,,CVE-2012-1877,HIGH,9.3,109.3460376,,CVE-2012-1402,HIGH,10,12.53363579
CVE-2012-1403,HIGH,10,12.53363579,,,,CVE-2012-1878,HIGH,9.3,109.3460376,,CVE-2012-1403,HIGH,10,12.53363579
CVE-2012-1404,HIGH,10,12.53363579,,,,CVE-2012-1879,HIGH,9.3,109.3460376,,CVE-2012-1404,HIGH,10,12.53363579
CVE-2012-1405,HIGH,10,12.53363579,,,,CVE-2012-1880,HIGH,9.3,109.3460376,,CVE-2012-1405,HIGH,10,12.53363579
CVE-2012-1406,HIGH,10,12.53363579,,,,CVE-2012-1881,HIGH,9.3,109.3460376,,CVE-2012-1406,HIGH,10,12.53363579
CVE-2012-1407,HIGH,10,12.53363579,,,,CVE-2012-0724,HIGH,9.3,109.2652185,,CVE-2012-1407,HIGH,10,12.53363579
CVE-2012-1408,HIGH,10,12.53169811,,,,CVE-2012-0725,HIGH,9.3,109.2652185,,CVE-2012-1408,HIGH,10,12.53169811
CVE-2012-1409,HIGH,10,12.53169811,,,,CVE-2012-2034,HIGH,9.3,109.2652185,,CVE-2012-1409,HIGH,10,12.53169811
CVE-2012-1474,HIGH,10,12.53169811,,,,CVE-2012-2035,HIGH,9.3,109.2652185,,CVE-2012-1474,HIGH,10,12.53169811
CVE-2012-1475,HIGH,10,12.53169811,,,,CVE-2012-2036,HIGH,9.3,109.2652185,,CVE-2012-1475,HIGH,10,12.53169811
CVE-2012-1476,HIGH,10,12.53169811,,,,CVE-2012-2037,HIGH,9.3,109.2652185,,CVE-2012-1476,HIGH,10,12.53169811
CVE-2012-1477,HIGH,10,12.53169811,,,,CVE-2012-2039,HIGH,9.3,109.2652185,,CVE-2012-1477,HIGH,10,12.53169811
CVE-2012-0764,HIGH,10,12.52976218,,,,CVE-2012-2040,HIGH,9.3,109.2652185,,CVE-2012-0764,HIGH,10,12.52976218
CVE-2012-1239,HIGH,10,12.52451636,,,,CVE-2012-0881,HIGH,7.8,91.61305422,,CVE-2012-1239,HIGH,10,12.52451636
CVE-2012-1418,HIGH,10,12.52148521,,,,CVE-2012-0168,HIGH,7.6,89.38568191,,CVE-2012-1418,HIGH,10,12.52148521
CVE-2012-2427,HIGH,10,12.51104708,,,,CVE-2012-1123,HIGH,7.5,88.45195643,,CVE-2012-2427,HIGH,10,12.51104708
CVE-2012-2428,HIGH,10,12.51104708,,,,CVE-2012-2691,HIGH,7.5,88.45195643,,CVE-2012-2428,HIGH,10,12.51104708
CVE-2012-2429,HIGH,10,12.51104708,,,,CVE-2012-2814,HIGH,7.5,88.4321055,,CVE-2012-2429,HIGH,10,12.51104708
CVE-2012-2949,HIGH,10,12.51049912,,,,CVE-2012-2840,HIGH,7.5,88.4321055,,CVE-2012-2949,HIGH,10,12.51049912
CVE-2012-3290,HIGH,10,12.50694085,,,,,,,,,,,,
CVE-2012-3859,HIGH,10,12.49929711,,,,,,,,,,,,
CVE-2012-1830,HIGH,10,12.49739048,,,,,,,,,,,,
CVE-2012-1831,HIGH,10,12.49739048,,,,,,,,,,,,
CVE-2012-1832,HIGH,10,12.49739048,,,,,,,,,,,,
CVE-2012-2559,HIGH,10,12.49739048,,,,,,,,,,,,
CVE-2012-3811,HIGH,10,12.49739048,,,,,,,,,,,,
CVE-2012-4145,HIGH,10,12.49168089,,,,,,,,,,,,
CVE-2012-3559,HIGH,10,12.49113792,,,,,,,,,,,,
CVE-2012-4249,HIGH,10,12.4900524,,,,,,,,,,,,
CVE-2012-3561,HIGH,10,12.48978111,,,,,,,,,,,,
CVE-2012-4274,HIGH,10,12.48978111,,,,,,,,,,,,
CVE-2012-2043,HIGH,10,12.48950985,,,,,,,,,,,,
CVE-2012-2044,HIGH,10,12.48950985,,,,,,,,,,,,
CVE-2012-2045,HIGH,10,12.48950985,,,,,,,,,,,,
CVE-2012-2046,HIGH,10,12.48950985,,,,,,,,,,,,
CVE-2012-2047,HIGH,10,12.48950985,,,,,,,,,,,,
CVE-2012-4331,HIGH,10,12.48950985,,,,,,,,,,,,
CVE-2012-4874,HIGH,10,12.48328055,,,,,,,,,,,,
CVE-2012-4876,HIGH,10,12.48328055,,,,,,,,,,,,
CVE-2012-2042,HIGH,10,12.47733925,,,,,,,,,,,,
CVE-2012-0245,HIGH,10,12.47008989,,,,,,,,,,,,
CVE-2012-4501,HIGH,10,12.47007051,,,,,,,,,,,,
CVE-2012-4959,HIGH,10,12.46363045,,,,,,,,,,,,
CVE-2012-6067,HIGH,10,12.45934802,,,,,,,,,,,,
CVE-2012-1799,HIGH,10,12.45908066,,,,,,,,,,,,
CVE-2012-5680,HIGH,10,12.45614194,,,,,,,,,,,,
CVE-2012-1712,HIGH,10,12.45507433,,,,,,,,,,,,
CVE-2012-1250,HIGH,10,12.45134199,,,,,,,,,,,,
CVE-2012-0411,HIGH,10,12.45027683,,,,,,,,,,,,
CVE-2012-1714,HIGH,10,12.45027683,,,,,,,,,,,,
CVE-2012-6428,HIGH,10,12.45027683,,,,,,,,,,,,
CVE-2012-6437,HIGH,10,12.44575594,,,,,,,,,,,,
CVE-2012-6392,HIGH,10,12.44469362,,,,,,,,,,,,
CVE-2012-0417,HIGH,10,12.44044974,,,,,,,,,,,,
CVE-2012-5188,HIGH,10,12.4391253,,,,,,,,,,,,
CVE-2012-6275,HIGH,10,12.43753707,,,,,,,,,,,,
CVE-2012-5417,HIGH,10,12.43727248,,,,,,,,,,,,
CVE-2012-3002,HIGH,10,12.43621447,,,,,,,,,,,,
CVE-2012-5273,HIGH,10,12.43621447,,,,,,,,,,,,
CVE-2012-3275,HIGH,10,12.43304366,,,,,,,,,,,,
CVE-2012-4702,HIGH,10,12.43198779,,,,,,,,,,,,
CVE-2012-0271,HIGH,10,12.42803306,,,,,,,,,,,,
CVE-2012-4177,HIGH,10,12.42803306,,,,,,,,,,,,
CVE-2012-3010,HIGH,10,12.42513769,,,,,,,,,,,,
CVE-2012-3021,HIGH,10,12.42513769,,,,,,,,,,,,
