IoC,Base Severity,Base Score,Final Score,,,,IoC,Base Severity,Base Score,Final Score,,IoC,Base Severity,Base Score,Final Score
CVE-1999-0702,HIGH,10,112.3837702,,,,CVE-1999-0702,HIGH,10,112.3837702,,CVE-1999-0702,HIGH,10,112.3837702
CVE-1999-0876,HIGH,10,112.3837702,,,,CVE-1999-0876,HIGH,10,112.3837702,,CVE-1999-0876,HIGH,10,112.3837702
CVE-1999-1049,HIGH,10,112.1612161,,,,CVE-1999-1049,HIGH,10,112.1612161,,CVE-1999-1049,HIGH,10,112.1612161
CVE-2001-0960,HIGH,10,112.1612161,,,,CVE-2001-0960,HIGH,10,112.1612161,,CVE-2001-0960,HIGH,10,112.1612161
CVE-2000-0762,HIGH,10,112.1580664,,,,CVE-2000-0762,HIGH,10,112.1580664,,CVE-2000-0762,HIGH,10,112.1580664
CVE-2000-0803,HIGH,10,112.1093331,,,,CVE-2000-0803,HIGH,10,112.1093331,,CVE-2000-0803,HIGH,10,112.1093331
CVE-1999-1199,HIGH,10,112.0670189,,,,CVE-1999-1199,HIGH,10,112.0670189,,CVE-1999-1199,HIGH,10,112.0670189
CVE-1999-1241,HIGH,10,111.9936504,,,,CVE-1999-1241,HIGH,10,111.9936504,,CVE-1999-1241,HIGH,10,111.9936504
CVE-2000-0061,HIGH,10,111.9936504,,,,CVE-2000-0061,HIGH,10,111.9936504,,CVE-2000-0061,HIGH,10,111.9936504
CVE-1999-0002,HIGH,10,12.54585598,,,,CVE-1999-0766,HIGH,9.3,104.5154389,,CVE-1999-0002,HIGH,10,12.54585598
CVE-1999-0005,HIGH,10,12.54585598,,,,CVE-1999-0802,HIGH,7.6,85.41166537,,CVE-1999-0005,HIGH,10,12.54585598
CVE-1999-0006,HIGH,10,12.54585598,,,,CVE-2000-0160,HIGH,7.6,85.11635782,,CVE-1999-0006,HIGH,10,12.54585598
CVE-1999-0047,HIGH,10,12.54585598,,,,CVE-2000-0464,HIGH,7.6,85.11517433,,CVE-1999-0047,HIGH,10,12.54585598
CVE-1999-0048,HIGH,10,12.54585598,,,,CVE-1999-0354,HIGH,7.5,84.28782767,,CVE-1999-0048,HIGH,10,12.54585598
CVE-1999-0088,HIGH,10,12.54585598,,,,CVE-1999-0488,HIGH,7.5,84.28782767,,CVE-1999-0088,HIGH,10,12.54585598
CVE-1999-0067,HIGH,10,12.54464482,,,,CVE-1999-0490,HIGH,7.5,84.28782767,,CVE-1999-0067,HIGH,10,12.54464482
CVE-1999-0082,HIGH,10,12.54464482,,,,CVE-2001-0382,HIGH,7.5,84.12091205,,CVE-1999-0082,HIGH,10,12.54464482
CVE-1999-0101,HIGH,10,12.54464482,,,,CVE-1999-1368,HIGH,7.5,84.11854983,,CVE-1999-0101,HIGH,10,12.54464482
CVE-1999-0113,HIGH,10,12.54464482,,,,CVE-2000-1244,HIGH,7.5,84.11854983,,CVE-1999-0113,HIGH,10,12.54464482
CVE-2001-0291,HIGH,10,12.48990131,,,,CVE-2002-0316,HIGH,7.5,84.09495532,,CVE-2001-0291,HIGH,10,12.48990131
CVE-1999-0248,HIGH,10,12.22753304,,,,CVE-2002-0061,HIGH,7.5,84.05026419,,CVE-1999-0248,HIGH,10,12.22753304
CVE-1999-0926,HIGH,10,12.22753304,,,,CVE-2002-0661,HIGH,7.5,84.05026419,,CVE-1999-0926,HIGH,10,12.22753304
CVE-1999-0182,HIGH,10,12.22641198,,,,CVE-2002-0843,HIGH,7.5,84.05026419,,CVE-1999-0182,HIGH,10,12.22641198
CVE-1999-0186,HIGH,10,12.22641198,,,,CVE-2002-1847,HIGH,7.5,84.03970592,,CVE-1999-0186,HIGH,10,12.22641198
CVE-1999-0268,HIGH,10,12.22641198,,,,CVE-2002-0392,HIGH,7.5,84.00458461,,CVE-1999-0268,HIGH,10,12.22641198
CVE-1999-0323,HIGH,10,12.22641198,,,,CVE-1999-1087,HIGH,7.5,83.99640574,,CVE-1999-0323,HIGH,10,12.22641198
CVE-1999-0408,HIGH,10,12.22641198,,,,CVE-1999-1094,HIGH,7.5,83.99640574,,CVE-1999-0408,HIGH,10,12.22641198
CVE-1999-0443,HIGH,10,12.22641198,,,,CVE-2000-0596,HIGH,7.5,83.99640574,,CVE-1999-0443,HIGH,10,12.22641198
CVE-1999-0526,HIGH,10,12.22641198,,,,CVE-2000-0982,HIGH,7.5,83.99523783,,CVE-1999-0526,HIGH,10,12.22641198
CVE-1999-0692,HIGH,10,12.22641198,,,,CVE-2001-0002,HIGH,7.5,83.99523783,,CVE-1999-0692,HIGH,10,12.22641198
CVE-1999-0722,HIGH,10,12.22641198,,,,CVE-2001-0154,HIGH,7.5,83.99523783,,CVE-1999-0722,HIGH,10,12.22641198
CVE-1999-0741,HIGH,10,12.22641198,,,,CVE-2001-0339,HIGH,7.5,83.99523783,,CVE-1999-0741,HIGH,10,12.22641198
CVE-1999-0745,HIGH,10,12.22641198,,,,CVE-2001-0664,HIGH,7.5,83.99523783,,CVE-1999-0745,HIGH,10,12.22641198
CVE-1999-0754,HIGH,10,12.22641198,,,,CVE-2001-0712,HIGH,7.5,83.99523783,,CVE-1999-0754,HIGH,10,12.22641198
CVE-1999-0759,HIGH,10,12.22641198,,,,CVE-2001-0724,HIGH,7.5,83.99523783,,CVE-1999-0759,HIGH,10,12.22641198
CVE-1999-0765,HIGH,10,12.22641198,,,,CVE-2001-0727,HIGH,7.5,83.99523783,,CVE-1999-0765,HIGH,10,12.22641198
CVE-1999-0789,HIGH,10,12.22641198,,,,CVE-2001-0875,HIGH,7.5,83.99523783,,CVE-1999-0789,HIGH,10,12.22641198
CVE-1999-0791,HIGH,10,12.22641198,,,,CVE-2001-1325,HIGH,7.5,83.99523783,,CVE-1999-0791,HIGH,10,12.22641198
CVE-1999-0801,HIGH,10,12.22641198,,,,CVE-2002-0022,HIGH,7.5,83.99523783,,CVE-1999-0801,HIGH,10,12.22641198
CVE-1999-0814,HIGH,10,12.22641198,,,,CVE-2002-0024,HIGH,7.5,83.99523783,,CVE-1999-0814,HIGH,10,12.22641198
CVE-1999-0816,HIGH,10,12.22641198,,,,CVE-2002-0026,HIGH,7.5,83.99523783,,CVE-1999-0816,HIGH,10,12.22641198
CVE-1999-0822,HIGH,10,12.22641198,,,,CVE-2002-0027,HIGH,7.5,83.99523783,,CVE-1999-0822,HIGH,10,12.22641198
CVE-1999-0832,HIGH,10,12.22641198,,,,CVE-2002-0077,HIGH,7.5,83.99523783,,CVE-1999-0832,HIGH,10,12.22641198
CVE-1999-0834,HIGH,10,12.22641198,,,,CVE-2002-0078,HIGH,7.5,83.99523783,,CVE-1999-0834,HIGH,10,12.22641198
CVE-1999-0836,HIGH,10,12.22641198,,,,CVE-2002-0188,HIGH,7.5,83.99523783,,CVE-1999-0836,HIGH,10,12.22641198
