IoC,Base Severity,Base Score,Final Score,,,,IoC,Base Severity,Base Score,Final Score,,IoC,Base Severity,Base Score,Final Score
CVE-2006-5171,HIGH,10,114.9536811,,,,CVE-2006-5171,HIGH,10,114.9536811,,CVE-2006-5171,HIGH,10,114.9536811
CVE-2006-5172,HIGH,10,114.9536811,,,,CVE-2006-5172,HIGH,10,114.9536811,,CVE-2006-5172,HIGH,10,114.9536811
CVE-2006-6076,HIGH,10,114.9536811,,,,CVE-2006-6076,HIGH,10,114.9536811,,CVE-2006-6076,HIGH,10,114.9536811
CVE-2006-6917,HIGH,10,114.9536811,,,,CVE-2006-6917,HIGH,10,114.9536811,,CVE-2006-6917,HIGH,10,114.9536811
CVE-2006-1186,HIGH,10,114.7702484,,,,CVE-2006-1186,HIGH,10,114.7702484,,CVE-2006-1186,HIGH,10,114.7702484
CVE-2006-1189,HIGH,10,114.7702484,,,,CVE-2006-1189,HIGH,10,114.7702484,,CVE-2006-1189,HIGH,10,114.7702484
CVE-2006-1190,HIGH,10,114.7702484,,,,CVE-2006-1190,HIGH,10,114.7702484,,CVE-2006-1190,HIGH,10,114.7702484
CVE-2006-2382,HIGH,10,114.7702484,,,,CVE-2006-2382,HIGH,10,114.7702484,,CVE-2006-2382,HIGH,10,114.7702484
CVE-2006-0303,HIGH,10,12.54585598,,,,CVE-2006-7066,HIGH,7.1,113.84116,,CVE-2006-0303,HIGH,10,12.54585598
CVE-2006-1047,HIGH,10,12.54585598,,,,CVE-2006-3976,HIGH,9.3,106.9037169,,CVE-2006-1047,HIGH,10,12.54585598
CVE-2006-1792,HIGH,10,12.54585598,,,,CVE-2006-3977,HIGH,9.3,106.9037169,,CVE-2006-1792,HIGH,10,12.54585598
CVE-2006-3742,HIGH,10,12.54585598,,,,CVE-2006-1303,HIGH,9.3,106.736331,,CVE-2006-3742,HIGH,10,12.54585598
CVE-2006-4084,HIGH,10,12.54585598,,,,CVE-2006-1359,HIGH,9.3,106.736331,,CVE-2006-4084,HIGH,10,12.54585598
