IoC,Base Severity,Base Score,Final Score,,,,IoC,Base Severity,Base Score,Final Score,,IoC,Base Severity,Base Score,Final Score
CVE-2009-0042,HIGH,10,115.4003616,,,,CVE-2009-0042,HIGH,10,115.4003616,,CVE-2009-0042,HIGH,10,115.4003616
CVE-2009-2412,HIGH,10,115.1352968,,,,CVE-2009-2412,HIGH,10,115.1352968,,CVE-2009-2412,HIGH,10,115.1352968
CVE-2009-0839,HIGH,10,115.1335686,,,,CVE-2009-0839,HIGH,10,115.1335686,,CVE-2009-0839,HIGH,10,115.1335686
CVE-2009-0840,HIGH,10,115.1335686,,,,CVE-2009-0840,HIGH,10,115.1335686,,CVE-2009-0840,HIGH,10,115.1335686
CVE-2009-0841,HIGH,10,115.1335686,,,,CVE-2009-0841,HIGH,10,115.1335686,,CVE-2009-0841,HIGH,10,115.1335686
CVE-2009-1176,HIGH,10,115.1335686,,,,CVE-2009-1176,HIGH,10,115.1335686,,CVE-2009-1176,HIGH,10,115.1335686
CVE-2009-1177,HIGH,10,115.1335686,,,,CVE-2009-1177,HIGH,10,115.1335686,,CVE-2009-1177,HIGH,10,115.1335686
CVE-2009-2281,HIGH,10,115.1335686,,,,CVE-2009-2281,HIGH,10,115.1335686,,CVE-2009-2281,HIGH,10,115.1335686
CVE-2009-1043,HIGH,10,115.0542702,,,,CVE-2009-1043,HIGH,10,115.0542702,,CVE-2009-1043,HIGH,10,115.0542702
CVE-2009-1918,HIGH,10,115.0542702,,,,CVE-2009-1918,HIGH,10,115.0542702,,CVE-2009-1918,HIGH,10,115.0542702
CVE-2009-0012,HIGH,10,12.54585598,,,,CVE-2009-4225,HIGH,9.3,107.1693383,,CVE-2009-0012,HIGH,10,12.54585598
CVE-2009-0620,HIGH,10,12.53089747,,,,CVE-2009-1690,HIGH,9.3,107.098345,,CVE-2009-0620,HIGH,10,12.53089747
CVE-2009-0621,HIGH,10,12.53089747,,,,CVE-2009-0550,HIGH,9.3,107.0004713,,CVE-2009-0621,HIGH,10,12.53089747
CVE-2009-0616,HIGH,10,12.52970531,,,,CVE-2009-0552,HIGH,9.3,107.0004713,,CVE-2009-0616,HIGH,10,12.52970531
CVE-2009-0617,HIGH,10,12.52970531,,,,CVE-2009-1141,HIGH,9.3,107.0004713,,CVE-2009-0617,HIGH,10,12.52970531
CVE-2009-0752,HIGH,10,12.52940737,,,,CVE-2009-1528,HIGH,9.3,107.0004713,,CVE-2009-0752,HIGH,10,12.52940737
CVE-2009-1178,HIGH,10,12.52108202,,,,CVE-2009-1529,HIGH,9.3,107.0004713,,CVE-2009-1178,HIGH,10,12.52108202
CVE-2009-1231,HIGH,10,12.51663537,,,,CVE-2009-1530,HIGH,9.3,107.0004713,,CVE-2009-1231,HIGH,10,12.51663537
CVE-2009-0939,HIGH,10,12.51604319,,,,CVE-2009-1531,HIGH,9.3,107.0004713,,CVE-2009-0939,HIGH,10,12.51604319
CVE-2009-1361,HIGH,10,12.51456345,,,,CVE-2009-1532,HIGH,9.3,107.0004713,,CVE-2009-1361,HIGH,10,12.51456345
CVE-2009-0718,HIGH,10,12.51308474,,,,CVE-2009-1917,HIGH,9.3,107.0004713,,CVE-2009-0718,HIGH,10,12.51308474
