IoC,Base Severity,Base Score,Final Score,,,,IoC,Base Severity,Base Score,Final Score,,IoC,Base Severity,Base Score,Final Score
CVE-2010-3972,HIGH,10,116.1802917,,,,CVE-2010-1290,HIGH,9.3,150.5448426,,CVE-2010-3972,HIGH,10,116.1802917
CVE-2010-0073,HIGH,10,116.0644372,,,,CVE-2010-3972,HIGH,10,116.1802917,,CVE-2010-0073,HIGH,10,116.0644372
CVE-2010-5326,HIGH,10,116.0479508,,,,CVE-2010-0073,HIGH,10,116.0644372,,CVE-2010-5326,HIGH,10,116.0479508
CVE-2010-4931,HIGH,10,116.0461696,,,,CVE-2010-5326,HIGH,10,116.0479508,,CVE-2010-4931,HIGH,10,116.0461696
CVE-2010-0425,HIGH,10,115.964438,,,,CVE-2010-4931,HIGH,10,116.0461696,,CVE-2010-0425,HIGH,10,115.964438
CVE-2010-2540,HIGH,10,115.9626656,,,,CVE-2010-0425,HIGH,10,115.964438,,CVE-2010-2540,HIGH,10,115.9626656
CVE-2010-2445,HIGH,10,115.9219541,,,,CVE-2010-2540,HIGH,10,115.9626656,,CVE-2010-2445,HIGH,10,115.9219541
CVE-2010-1118,HIGH,10,115.881342,,,,CVE-2010-2445,HIGH,10,115.9219541,,CVE-2010-1118,HIGH,10,115.881342
CVE-2010-3414,HIGH,10,115.7986597,,,,CVE-2010-1118,HIGH,10,115.881342,,CVE-2010-3414,HIGH,10,115.7986597
CVE-2010-0359,HIGH,10,12.5417615,,,,CVE-2010-3414,HIGH,10,115.7986597,,CVE-2010-0359,HIGH,10,12.5417615
CVE-2010-0140,HIGH,10,12.54117977,,,,CVE-2010-3311,HIGH,9.3,108.0643782,,CVE-2010-0140,HIGH,10,12.54117977
CVE-2010-0444,HIGH,10,12.53505184,,,,CVE-2010-2730,HIGH,9.3,108.0476713,,CVE-2010-0444,HIGH,10,12.53505184
CVE-2010-0145,HIGH,10,12.53360269,,,,CVE-2010-4344,HIGH,9.3,107.9014187,,CVE-2010-0145,HIGH,10,12.53360269
CVE-2010-0418,HIGH,10,12.52169551,,,,CVE-2010-1797,HIGH,9.3,107.8700215,,CVE-2010-0418,HIGH,10,12.52169551
CVE-2010-0508,HIGH,10,12.52169551,,,,CVE-2010-4182,HIGH,9.3,107.7959125,,CVE-2010-0508,HIGH,10,12.52169551
CVE-2010-0580,HIGH,10,12.51793603,,,,CVE-2010-0027,HIGH,9.3,107.786553,,CVE-2010-0580,HIGH,10,12.51793603
CVE-2010-0581,HIGH,10,12.51793603,,,,CVE-2010-0244,HIGH,9.3,107.769648,,CVE-2010-0581,HIGH,10,12.51793603
CVE-2010-1041,HIGH,10,12.50095695,,,,CVE-2010-0245,HIGH,9.3,107.769648,,CVE-2010-1041,HIGH,10,12.50095695
CVE-2010-0600,HIGH,10,12.50038377,,,,CVE-2010-0246,HIGH,9.3,107.769648,,CVE-2010-0600,HIGH,10,12.50038377
CVE-2010-2054,HIGH,10,12.49981074,,,,CVE-2010-0247,HIGH,9.3,107.769648,,CVE-2010-2054,HIGH,10,12.49981074
