IoC,Base Severity,Base Score,Final Score,,,,IoC,Base Severity,Base Score,Final Score,,IoC,Base Severity,Base Score,Final Score
CVE-2005-0260,HIGH,10,114.9536811,,,,CVE-2005-0260,HIGH,10,114.9536811,,CVE-2005-0260,HIGH,10,114.9536811
CVE-2005-0582,HIGH,10,114.9502332,,,,CVE-2005-0582,HIGH,10,114.9502332,,CVE-2005-0582,HIGH,10,114.9502332
CVE-2005-1693,HIGH,10,114.9502332,,,,CVE-2005-1693,HIGH,10,114.9502332,,CVE-2005-1693,HIGH,10,114.9502332
CVE-2005-2668,HIGH,10,114.9416168,,,,CVE-2005-2668,HIGH,10,114.9416168,,CVE-2005-2668,HIGH,10,114.9416168
CVE-2005-2669,HIGH,10,114.9416168,,,,CVE-2005-2669,HIGH,10,114.9416168,,CVE-2005-2669,HIGH,10,114.9416168
CVE-2005-3653,HIGH,10,114.9416168,,,,CVE-2005-3653,HIGH,10,114.9416168,,CVE-2005-3653,HIGH,10,114.9416168
CVE-2005-2700,HIGH,10,114.8505643,,,,CVE-2005-2700,HIGH,10,114.8505643,,CVE-2005-2700,HIGH,10,114.8505643
CVE-2005-2541,HIGH,10,114.8300199,,,,CVE-2005-2541,HIGH,10,114.8300199,,CVE-2005-2541,HIGH,10,114.8300199
CVE-2005-0002,HIGH,10,12.54585598,,,,CVE-2005-4843,HIGH,7.8,89.52079372,,CVE-2005-0002,HIGH,10,12.54585598
CVE-2005-0011,HIGH,10,12.54585598,,,,CVE-2005-4360,HIGH,7.8,89.37801843,,CVE-2005-0011,HIGH,10,12.54585598
CVE-2005-0065,HIGH,10,12.54585598,,,,CVE-2005-0349,HIGH,7.5,86.21526083,,CVE-2005-0065,HIGH,10,12.54585598
CVE-2005-0635,HIGH,10,12.54585598,,,,CVE-2005-1272,HIGH,7.5,86.21526083,,CVE-2005-0635,HIGH,10,12.54585598
CVE-2005-0636,HIGH,10,12.54585598,,,,CVE-2005-3190,HIGH,7.5,86.21267493,,CVE-2005-0636,HIGH,10,12.54585598
CVE-2005-0855,HIGH,10,12.54585598,,,,CVE-2005-0642,HIGH,7.5,86.2087971,,CVE-2005-0855,HIGH,10,12.54585598
CVE-2005-0927,HIGH,10,12.54585598,,,,CVE-2005-2575,HIGH,7.5,86.18684622,,CVE-2005-0927,HIGH,10,12.54585598
CVE-2005-1015,HIGH,10,12.54585598,,,,CVE-2005-2535,HIGH,7.5,86.15978532,,CVE-2005-1015,HIGH,10,12.54585598
CVE-2005-1037,HIGH,10,12.54585598,,,,CVE-2005-2491,HIGH,7.5,86.13792319,,CVE-2005-1037,HIGH,10,12.54585598
CVE-2005-1131,HIGH,10,12.54585598,,,,CVE-2005-0994,HIGH,7.5,86.12636514,,CVE-2005-1131,HIGH,10,12.54585598
