IoC,Base Severity,Base Score,Final Score,,,,IoC,Base Severity,Base Score,Final Score,,IoC,Base Severity,Base Score,Final Score
CVE-2003-0789,HIGH,10,112.456533,,,,CVE-2003-0789,HIGH,10,112.456533,,CVE-2003-0789,HIGH,10,112.456533
CVE-2003-1027,HIGH,10,112.3821924,,,,CVE-2003-1027,HIGH,10,112.3821924,,CVE-2003-1027,HIGH,10,112.3821924
CVE-2003-1048,HIGH,10,112.3821924,,,,CVE-2003-1048,HIGH,10,112.3821924,,CVE-2003-1048,HIGH,10,112.3821924
CVE-2003-0041,HIGH,10,12.54585598,,,,CVE-2003-1026,HIGH,9.3,104.5154389,,CVE-2003-0041,HIGH,10,12.54585598
CVE-2003-0421,HIGH,10,12.54585598,,,,CVE-2003-0016,HIGH,7.5,91.20331512,,CVE-2003-0421,HIGH,10,12.54585598
CVE-2003-0426,HIGH,10,12.54585598,,,,CVE-2003-0264,HIGH,7.5,86.26969276,,CVE-2003-0426,HIGH,10,12.54585598
CVE-2003-0500,HIGH,10,12.54585598,,,,CVE-2003-0113,HIGH,7.5,86.07768627,,CVE-2003-0500,HIGH,10,12.54585598
CVE-2003-0502,HIGH,10,12.28584921,,,,CVE-2003-0115,HIGH,7.5,86.07768627,,CVE-2003-0502,HIGH,10,12.28584921
CVE-2003-0599,HIGH,10,12.22753304,,,,CVE-2003-0233,HIGH,7.5,86.07768627,,CVE-2003-0599,HIGH,10,12.22753304
CVE-2003-0640,HIGH,10,12.22753304,,,,CVE-2003-0309,HIGH,7.5,86.07768627,,CVE-2003-0640,HIGH,10,12.22753304
CVE-2003-0732,HIGH,10,12.22753304,,,,CVE-2003-0344,HIGH,7.5,86.07768627,,CVE-2003-0732,HIGH,10,12.22753304
CVE-2003-1236,HIGH,10,12.22753304,,,,CVE-2003-0513,HIGH,7.5,86.07768627,,CVE-2003-1236,HIGH,10,12.22753304
CVE-2003-1322,HIGH,10,12.22753304,,,,CVE-2003-0530,HIGH,7.5,86.07768627,,CVE-2003-1322,HIGH,10,12.22753304
CVE-2003-0731,HIGH,10,12.22613182,,,,CVE-2003-0531,HIGH,7.5,86.07768627,,CVE-2003-0731,HIGH,10,12.22613182
