IoC,Base Severity,Base Score,Final Score,,,,IoC,Base Severity,Base Score,Final Score,,IoC,Base Severity,Base Score,Final Score
CVE-2004-1812,HIGH,10,114.9416168,,,,CVE-2004-1812,HIGH,10,114.9416168,,CVE-2004-1812,HIGH,10,114.9416168
CVE-2004-0492,HIGH,10,114.8505643,,,,CVE-2004-0492,HIGH,10,114.8505643,,CVE-2004-0492,HIGH,10,114.8505643
CVE-2004-0214,HIGH,10,114.7702484,,,,CVE-2004-0214,HIGH,10,114.7702484,,CVE-2004-0214,HIGH,10,114.7702484
CVE-2004-0216,HIGH,10,114.7702484,,,,CVE-2004-0216,HIGH,10,114.7702484,,CVE-2004-0216,HIGH,10,114.7702484
CVE-2004-0420,HIGH,10,114.7702484,,,,CVE-2004-0420,HIGH,10,114.7702484,,CVE-2004-0420,HIGH,10,114.7702484
CVE-2004-0549,HIGH,10,114.7702484,,,,CVE-2004-0549,HIGH,10,114.7702484,,CVE-2004-0549,HIGH,10,114.7702484
CVE-2004-1050,HIGH,10,114.7702484,,,,CVE-2004-1050,HIGH,10,114.7702484,,CVE-2004-1050,HIGH,10,114.7702484
CVE-2004-0002,HIGH,10,12.54585598,,,,CVE-2004-0642,HIGH,7.5,86.2983025,,CVE-2004-0002,HIGH,10,12.54585598
CVE-2004-0090,HIGH,10,12.54585598,,,,CVE-2004-0932,HIGH,7.5,86.21267493,,CVE-2004-0090,HIGH,10,12.54585598
CVE-2004-0540,HIGH,10,12.54585598,,,,CVE-2004-0933,HIGH,7.5,86.21267493,,CVE-2004-0540,HIGH,10,12.54585598
CVE-2004-0926,HIGH,10,12.54585598,,,,CVE-2004-0934,HIGH,7.5,86.21267493,,CVE-2004-0926,HIGH,10,12.54585598
CVE-2004-1312,HIGH,10,12.54585598,,,,CVE-2004-0935,HIGH,7.5,86.21267493,,CVE-2004-1312,HIGH,10,12.54585598
CVE-2004-2235,HIGH,10,12.54585598,,,,CVE-2004-0936,HIGH,7.5,86.21267493,,CVE-2004-2235,HIGH,10,12.54585598
CVE-2004-2247,HIGH,10,12.54585598,,,,CVE-2004-0937,HIGH,7.5,86.21267493,,CVE-2004-2247,HIGH,10,12.54585598
CVE-2004-2281,HIGH,10,12.54585598,,,,CVE-2004-1096,HIGH,7.5,86.21267493,,CVE-2004-2281,HIGH,10,12.54585598
CVE-2004-2406,HIGH,10,12.54585598,,,,CVE-2004-0323,HIGH,7.5,86.18684622,,CVE-2004-2406,HIGH,10,12.54585598
CVE-2004-2407,HIGH,10,12.54585598,,,,CVE-2004-1864,HIGH,7.5,86.18684622,,CVE-2004-2407,HIGH,10,12.54585598
CVE-2004-2427,HIGH,10,12.54585598,,,,CVE-2004-0488,HIGH,7.5,86.13792319,,CVE-2004-2427,HIGH,10,12.54585598
CVE-2004-2613,HIGH,10,12.54585598,,,,CVE-2004-0811,HIGH,7.5,86.13792319,,CVE-2004-2613,HIGH,10,12.54585598
CVE-2004-0092,HIGH,10,12.54434214,,,,CVE-2004-0885,HIGH,7.5,86.13792319,,CVE-2004-0092,HIGH,10,12.54434214
CVE-2004-0716,HIGH,10,12.53106635,,,,CVE-2004-0566,HIGH,7.5,86.07768627,,CVE-2004-0716,HIGH,10,12.53106635
CVE-2004-1013,HIGH,10,11.79309052,,,,CVE-2004-0719,HIGH,7.5,86.07768627,,CVE-2004-1013,HIGH,10,11.79309052
CVE-2004-0039,HIGH,10,11.74941712,,,,CVE-2004-0727,HIGH,7.5,86.07768627,,CVE-2004-0039,HIGH,10,11.74941712
CVE-2004-0139,HIGH,10,11.74941712,,,,CVE-2004-0842,HIGH,7.5,86.07768627,,CVE-2004-0139,HIGH,10,11.74941712
CVE-2004-0220,HIGH,10,11.74941712,,,,CVE-2004-0866,HIGH,7.5,86.07768627,,CVE-2004-0220,HIGH,10,11.74941712
CVE-2004-0226,HIGH,10,11.74941712,,,,CVE-2004-0867,HIGH,7.5,86.07768627,,CVE-2004-0226,HIGH,10,11.74941712
CVE-2004-0236,HIGH,10,11.74941712,,,,CVE-2004-1155,HIGH,7.5,86.07768627,,CVE-2004-0236,HIGH,10,11.74941712
CVE-2004-0239,HIGH,10,11.74941712,,,,CVE-2004-1166,HIGH,7.5,86.07768627,,CVE-2004-0239,HIGH,10,11.74941712
CVE-2004-0241,HIGH,10,11.74941712,,,,CVE-2004-1173,HIGH,7.5,86.07768627,,CVE-2004-0241,HIGH,10,11.74941712
CVE-2004-0246,HIGH,10,11.74941712,,,,CVE-2004-2291,HIGH,7.5,86.07768627,,CVE-2004-0246,HIGH,10,11.74941712
CVE-2004-0249,HIGH,10,11.74941712,,,,CVE-2004-1189,HIGH,7.2,82.8463704,,CVE-2004-0249,HIGH,10,11.74941712
CVE-2004-0250,HIGH,10,11.74941712,,,,CVE-2004-1149,HIGH,7.2,82.76416793,,CVE-2004-0250,HIGH,10,11.74941712
CVE-2004-0253,HIGH,10,11.74941712,,,,CVE-2004-0002,HIGH,10,12.54585598,,CVE-2004-0253,HIGH,10,11.74941712
CVE-2004-0262,HIGH,10,11.74941712,,,,CVE-2004-0090,HIGH,10,12.54585598,,CVE-2004-0262,HIGH,10,11.74941712
CVE-2004-0277,HIGH,10,11.74941712,,,,CVE-2004-0540,HIGH,10,12.54585598,,CVE-2004-0277,HIGH,10,11.74941712
CVE-2004-0286,HIGH,10,11.74941712,,,,CVE-2004-0926,HIGH,10,12.54585598,,CVE-2004-0286,HIGH,10,11.74941712
CVE-2004-0288,HIGH,10,11.74941712,,,,CVE-2004-1312,HIGH,10,12.54585598,,CVE-2004-0288,HIGH,10,11.74941712
CVE-2004-0290,HIGH,10,11.74941712,,,,CVE-2004-2235,HIGH,10,12.54585598,,CVE-2004-0290,HIGH,10,11.74941712
CVE-2004-0292,HIGH,10,11.74941712,,,,CVE-2004-2247,HIGH,10,12.54585598,,CVE-2004-0292,HIGH,10,11.74941712
CVE-2004-0300,HIGH,10,11.74941712,,,,CVE-2004-2281,HIGH,10,12.54585598,,CVE-2004-0300,HIGH,10,11.74941712
CVE-2004-0304,HIGH,10,11.74941712,,,,CVE-2004-2406,HIGH,10,12.54585598,,CVE-2004-0304,HIGH,10,11.74941712
CVE-2004-0311,HIGH,10,11.74941712,,,,CVE-2004-2407,HIGH,10,12.54585598,,CVE-2004-0311,HIGH,10,11.74941712
CVE-2004-0313,HIGH,10,11.74941712,,,,CVE-2004-2427,HIGH,10,12.54585598,,CVE-2004-0313,HIGH,10,11.74941712
CVE-2004-0315,HIGH,10,11.74941712,,,,CVE-2004-2613,HIGH,10,12.54585598,,CVE-2004-0315,HIGH,10,11.74941712
CVE-2004-0317,HIGH,10,11.74941712,,,,CVE-2004-0092,HIGH,10,12.54434214,,CVE-2004-0317,HIGH,10,11.74941712
CVE-2004-0318,HIGH,10,11.74941712,,,,CVE-2004-0716,HIGH,10,12.53106635,,CVE-2004-0318,HIGH,10,11.74941712
CVE-2004-0326,HIGH,10,11.74941712,,,,CVE-2004-1013,HIGH,10,11.79309052,,CVE-2004-0326,HIGH,10,11.74941712
CVE-2004-0332,HIGH,10,11.74941712,,,,CVE-2004-0039,HIGH,10,11.74941712,,CVE-2004-0332,HIGH,10,11.74941712
CVE-2004-0333,HIGH,10,11.74941712,,,,CVE-2004-0139,HIGH,10,11.74941712,,CVE-2004-0333,HIGH,10,11.74941712
CVE-2004-0338,HIGH,10,11.74941712,,,,CVE-2004-0220,HIGH,10,11.74941712,,CVE-2004-0338,HIGH,10,11.74941712
CVE-2004-0343,HIGH,10,11.74941712,,,,,,,,,,,,
CVE-2004-0345,HIGH,10,11.74941712,,,,,,,,,,,,
CVE-2004-0348,HIGH,10,11.74941712,,,,,,,,,,,,
CVE-2004-0353,HIGH,10,11.74941712,,,,,,,,,,,,
CVE-2004-0354,HIGH,10,11.74941712,,,,,,,,,,,,
CVE-2004-0357,HIGH,10,11.74941712,,,,,,,,,,,,
CVE-2004-0377,HIGH,10,11.74941712,,,,,,,,,,,,
CVE-2004-0385,HIGH,10,11.74941712,,,,,,,,,,,,
CVE-2004-0386,HIGH,10,11.74941712,,,,,,,,,,,,
CVE-2004-0391,HIGH,10,11.74941712,,,,,,,,,,,,
CVE-2004-0393,HIGH,10,11.74941712,,,,,,,,,,,,
CVE-2004-0401,HIGH,10,11.74941712,,,,,,,,,,,,
CVE-2004-0413,HIGH,10,11.74941712,,,,,,,,,,,,
CVE-2004-0425,HIGH,10,11.74941712,,,,,,,,,,,,
CVE-2004-0429,HIGH,10,11.74941712,,,,,,,,,,,,
CVE-2004-0433,HIGH,10,11.74941712,,,,,,,,,,,,
CVE-2004-0444,HIGH,10,11.74941712,,,,,,,,,,,,
CVE-2004-0448,HIGH,10,11.74941712,,,,,,,,,,,,
CVE-2004-0450,HIGH,10,11.74941712,,,,,,,,,,,,
CVE-2004-0451,HIGH,10,11.74941712,,,,,,,,,,,,
CVE-2004-0460,HIGH,10,11.74941712,,,,,,,,,,,,
CVE-2004-0461,HIGH,10,11.74941712,,,,,,,,,,,,
CVE-2004-0469,HIGH,10,11.74941712,,,,,,,,,,,,
CVE-2004-0477,HIGH,10,11.74941712,,,,,,,,,,,,
CVE-2004-0480,HIGH,10,11.74941712,,,,,,,,,,,,
CVE-2004-0487,HIGH,10,11.74941712,,,,,,,,,,,,
CVE-2004-0513,HIGH,10,11.74941712,,,,,,,,,,,,
CVE-2004-0522,HIGH,10,11.74941712,,,,,,,,,,,,
CVE-2004-0524,HIGH,10,11.74941712,,,,,,,,,,,,
CVE-2004-0542,HIGH,10,11.74941712,,,,,,,,,,,,
CVE-2004-0543,HIGH,10,11.74941712,,,,,,,,,,,,
CVE-2004-0586,HIGH,10,11.74941712,,,,,,,,,,,,
CVE-2004-0590,HIGH,10,11.74941712,,,,,,,,,,,,
CVE-2004-0603,HIGH,10,11.74941712,,,,,,,,,,,,
CVE-2004-0608,HIGH,10,11.74941712,,,,,,,,,,,,
CVE-2004-0621,HIGH,10,11.74941712,,,,,,,,,,,,
CVE-2004-0623,HIGH,10,11.74941712,,,,,,,,,,,,
CVE-2004-0630,HIGH,10,11.74941712,,,,,,,,,,,,
CVE-2004-0631,HIGH,10,11.74941712,,,,,,,,,,,,
CVE-2004-0636,HIGH,10,11.74941712,,,,,,,,,,,,
CVE-2004-0640,HIGH,10,11.74941712,,,,,,,,,,,,
CVE-2004-0645,HIGH,10,11.74941712,,,,,,,,,,,,
CVE-2004-0646,HIGH,10,11.74941712,,,,,,,,,,,,
CVE-2004-0648,HIGH,10,11.74941712,,,,,,,,,,,,
CVE-2004-0649,HIGH,10,11.74941712,,,,,,,,,,,,
CVE-2004-0650,HIGH,10,11.74941712,,,,,,,,,,,,
CVE-2004-0659,HIGH,10,11.74941712,,,,,,,,,,,,
CVE-2004-0676,HIGH,10,11.74941712,,,,,,,,,,,,
CVE-2004-0680,HIGH,10,11.74941712,,,,,,,,,,,,
CVE-2004-0742,HIGH,10,11.74941712,,,,,,,,,,,,
CVE-2004-0889,HIGH,10,11.74941712,,,,,,,,,,,,
CVE-2004-0929,HIGH,10,11.74941712,,,,,,,,,,,,
CVE-2004-0947,HIGH,10,11.74941712,,,,,,,,,,,,
CVE-2004-0953,HIGH,10,11.74941712,,,,,,,,,,,,
CVE-2004-0964,HIGH,10,11.74941712,,,,,,,,,,,,
CVE-2004-0980,HIGH,10,11.74941712,,,,,,,,,,,,
CVE-2004-0982,HIGH,10,11.74941712,,,,,,,,,,,,
CVE-2004-0985,HIGH,10,11.74941712,,,,,,,,,,,,
CVE-2004-0992,HIGH,10,11.74941712,,,,,,,,,,,,
CVE-2004-0993,HIGH,10,11.74941712,,,,,,,,,,,,
CVE-2004-0994,HIGH,10,11.74941712,,,,,,,,,,,,
CVE-2004-1006,HIGH,10,11.74941712,,,,,,,,,,,,
CVE-2004-1008,HIGH,10,11.74941712,,,,,,,,,,,,
CVE-2004-1011,HIGH,10,11.74941712,,,,,,,,,,,,
CVE-2004-1012,HIGH,10,11.74941712,,,,,,,,,,,,
CVE-2004-1015,HIGH,10,11.74941712,,,,,,,,,,,,
CVE-2004-1034,HIGH,10,11.74941712,,,,,,,,,,,,
CVE-2004-1037,HIGH,10,11.74941712,,,,,,,,,,,,
CVE-2004-1052,HIGH,10,11.74941712,,,,,,,,,,,,
CVE-2004-1053,HIGH,10,11.74941712,,,,,,,,,,,,
CVE-2004-1067,HIGH,10,11.74941712,,,,,,,,,,,,
CVE-2004-1095,HIGH,10,11.74941712,,,,,,,,,,,,
CVE-2004-1097,HIGH,10,11.74941712,,,,,,,,,,,,
CVE-2004-1113,HIGH,10,11.74941712,,,,,,,,,,,,
CVE-2004-1118,HIGH,10,11.74941712,,,,,,,,,,,,
CVE-2004-1119,HIGH,10,11.74941712,,,,,,,,,,,,
CVE-2004-1120,HIGH,10,11.74941712,,,,,,,,,,,,
CVE-2004-1127,HIGH,10,11.74941712,,,,,,,,,,,,
CVE-2004-1128,HIGH,10,11.74941712,,,,,,,,,,,,
CVE-2004-1129,HIGH,10,11.74941712,,,,,,,,,,,,
CVE-2004-1134,HIGH,10,11.74941712,,,,,,,,,,,,
CVE-2004-1147,HIGH,10,11.74941712,,,,,,,,,,,,
CVE-2004-1152,HIGH,10,11.74941712,,,,,,,,,,,,
CVE-2004-1168,HIGH,10,11.74941712,,,,,,,,,,,,
CVE-2004-1172,HIGH,10,11.74941712,,,,,,,,,,,,
CVE-2004-1187,HIGH,10,11.74941712,,,,,,,,,,,,
CVE-2004-1188,HIGH,10,11.74941712,,,,,,,,,,,,
CVE-2004-1192,HIGH,10,11.74941712,,,,,,,,,,,,
CVE-2004-1208,HIGH,10,11.74941712,,,,,,,,,,,,
CVE-2004-1211,HIGH,10,11.74941712,,,,,,,,,,,,
CVE-2004-1214,HIGH,10,11.74941712,,,,,,,,,,,,
CVE-2004-1222,HIGH,10,11.74941712,,,,,,,,,,,,
CVE-2004-1225,HIGH,10,11.74941712,,,,,,,,,,,,
CVE-2004-1227,HIGH,10,11.74941712,,,,,,,,,,,,
CVE-2004-1232,HIGH,10,11.74941712,,,,,,,,,,,,
CVE-2004-1236,HIGH,10,11.74941712,,,,,,,,,,,,
CVE-2004-1254,HIGH,10,11.74941712,,,,,,,,,,,,
CVE-2004-1255,HIGH,10,11.74941712,,,,,,,,,,,,
CVE-2004-1256,HIGH,10,11.74941712,,,,,,,,,,,,
