IoC,Base Severity,Base Score,Final Score,,,,IoC,Base Severity,Base Score,Final Score,,IoC,Base Severity,Base Score,Final Score
CVE-2007-1416,HIGH,10,11.65913542,,,,CVE-2007-0946,HIGH,9.3,106.736331,,CVE-2007-1416,HIGH,10,11.65913542
CVE-2007-1421,HIGH,10,11.65913542,,,,CVE-2007-0947,HIGH,9.3,106.736331,,CVE-2007-1421,HIGH,10,11.65913542
CVE-2007-1485,HIGH,10,11.65913542,,,,CVE-2007-1749,HIGH,9.3,106.736331,,CVE-2007-1485,HIGH,10,11.65913542
CVE-2007-1486,HIGH,10,11.65913542,,,,CVE-2007-1750,HIGH,9.3,106.736331,,CVE-2007-1486,HIGH,10,11.65913542
CVE-2007-1512,HIGH,10,11.65913542,,,,CVE-2007-1751,HIGH,9.3,106.736331,,CVE-2007-1512,HIGH,10,11.65913542
CVE-2007-1543,HIGH,10,11.65913542,,,,CVE-2007-1765,HIGH,9.3,106.736331,,CVE-2007-1543,HIGH,10,11.65913542
CVE-2007-1631,HIGH,10,11.65913542,,,,CVE-2007-2216,HIGH,9.3,106.736331,,CVE-2007-1631,HIGH,10,11.65913542
CVE-2007-1674,HIGH,10,11.65913542,,,,CVE-2007-2221,HIGH,9.3,106.736331,,CVE-2007-1674,HIGH,10,11.65913542
CVE-2007-1685,HIGH,10,11.65913542,,,,,,,,,,,,
CVE-2007-1689,HIGH,10,11.65913542,,,,,,,,,,,,
CVE-2007-1695,HIGH,10,11.65913542,,,,,,,,,,,,
CVE-2007-1721,HIGH,10,11.65913542,,,,,,,,,,,,
CVE-2007-1733,HIGH,10,11.65913542,,,,,,,,,,,,
CVE-2007-1766,HIGH,10,11.65913542,,,,,,,,,,,,
CVE-2007-1946,HIGH,10,11.65913542,,,,,,,,,,,,
CVE-2007-2031,HIGH,10,11.65913542,,,,,,,,,,,,
CVE-2007-2053,HIGH,10,11.65913542,,,,,,,,,,,,
CVE-2007-2057,HIGH,10,11.65913542,,,,,,,,,,,,
CVE-2007-2059,HIGH,10,11.65913542,,,,,,,,,,,,
CVE-2007-2100,HIGH,10,11.65913542,,,,,,,,,,,,
CVE-2007-2121,HIGH,10,11.65913542,,,,,,,,,,,,
CVE-2007-2122,HIGH,10,11.65913542,,,,,,,,,,,,
CVE-2007-2123,HIGH,10,11.65913542,,,,,,,,,,,,
CVE-2007-2124,HIGH,10,11.65913542,,,,,,,,,,,,
CVE-2007-2125,HIGH,10,11.65913542,,,,,,,,,,,,
CVE-2007-2126,HIGH,10,11.65913542,,,,,,,,,,,,
CVE-2007-2127,HIGH,10,11.65913542,,,,,,,,,,,,
CVE-2007-2129,HIGH,10,11.65913542,,,,,,,,,,,,
CVE-2007-2131,HIGH,10,11.65913542,,,,,,,,,,,,
